"Name","Team","Season","GP","TOI","FF/60","FA/60","xGF/FF","xGA/FA","RF/60","RA/60","QF/60","QA/60","R±/60","Q±/60","Sh±/60","Sv±/60","G±/60"
"Predators","NSH","13-14",82,4115.42,-1.51,-0.69,-0.0019,-0.0065,-0.08,-0.04,-0.07,-0.26,-0.05,0.19,0.17,-0.6,-0.3
"Maple Leafs","TOR","13-14",82,4074.5,-3.79,10.61,-0.0011,-0.0032,-0.21,0.59,-0.04,-0.16,-0.8,0.12,0.2,0.18,-0.3
"Thrashers","ATL","10-11",82,4067.63,0.64,1.12,-0.0006,0.0043,0.04,0.06,-0.03,0.18,-0.03,-0.21,-0.13,0.06,-0.31
"Blue Jackets","CBJ","10-11",82,3965.03,-0.79,-1.18,-0.0004,-0.0006,-0.04,-0.07,-0.02,-0.02,0.02,0.01,-0.03,-0.31,-0.31
"Devils","N.J","15-16",82,4016.63,-7.76,-3.06,0.0051,0.0028,-0.43,-0.17,0.16,0.11,-0.26,0.06,-0.23,0.11,-0.31
"Canucks","VAN","22-23",82,4088.43,-4.3,0.15,0.0027,0.0039,-0.27,0.01,0.1,0.16,-0.28,-0.06,0.15,-0.12,-0.31
"Kings","L.A","19-20",70,3523.87,3.04,-0.93,-0.0043,-0.001,0.18,-0.06,-0.19,-0.04,0.24,-0.15,-0.37,-0.03,-0.32
"Flyers","PHI","12-13",48,2281.02,-0.66,2.1,-0.0019,-0.0006,-0.04,0.12,-0.07,-0.02,-0.16,-0.05,0.14,-0.26,-0.33
"Coyotes","ARI","17-18",82,4162.87,-2.51,3.67,-0.0024,-0.0023,-0.14,0.21,-0.1,-0.11,-0.35,0.01,-0.05,0.07,-0.33
"Red Wings","DET","24-25",82,4200.5,-2.45,0.92,0.0019,0.0032,-0.15,0.06,0.07,0.14,-0.2,-0.06,-0.3,0.24,-0.33
"Devils","N.J","12-13",48,2346.82,-2.19,-9.13,0.0005,0.0009,-0.12,-0.52,0.02,0.03,0.39,-0.01,-0.51,-0.21,-0.34
"Flyers","PHI","16-17",82,4062.02,0.27,-1.84,-0.0008,0.0027,0.01,-0.1,-0.03,0.1,0.12,-0.14,-0.29,-0.03,-0.34
"Islanders","NYI","09-10",81,3890.58,-0.34,2.55,0.005,0.0034,-0.02,0.15,0.2,0.15,-0.17,0.05,-0.23,-0.01,-0.35
"Hurricanes","CAR","17-18",82,4196.48,3.07,-2.65,-0.0004,0.0012,0.18,-0.15,-0.02,0.05,0.33,-0.07,-0.27,-0.35,-0.35
"Senators","OTT","22-23",82,3886.87,2.91,0.19,0.0016,0.002,0.18,0.01,0.07,0.08,0.17,-0.01,-0.38,-0.12,-0.35
"Canadiens","MTL","24-25",82,4075.98,-3.01,2.31,0.0086,0.0077,-0.18,0.14,0.33,0.34,-0.32,-0.01,-0.15,0.13,-0.35
"Kings","L.A","08-09",82,3769.95,0.1,-0.9,-0.003,-0.0047,0.01,-0.05,-0.12,-0.18,0.06,0.06,-0.33,-0.16,-0.37
"Wild","MIN","10-11",82,3969.78,-5.73,2.63,-0.0046,-0.0048,-0.32,0.15,-0.16,-0.21,-0.47,0.05,0.15,-0.09,-0.37
"Red Wings","DET","17-18",82,4102.82,-1.71,-0.36,-0.001,0.0007,-0.1,-0.02,-0.04,0.03,-0.08,-0.07,-0.08,-0.13,-0.37
"Coyotes","ARI","18-19",82,4078.72,-0.85,0.48,-0.0028,-0.0031,-0.05,0.03,-0.12,-0.14,-0.08,0.02,-0.31,0,-0.37
"Panthers","FLA","18-19",82,4108.18,-0.39,-0.27,-0.0039,0.0012,-0.02,-0.02,-0.16,0.05,-0.01,-0.22,0.15,-0.3,-0.38
"Devils","N.J","20-21",56,2816.3,-0.2,1.22,-0.0041,-0.0038,-0.01,0.07,-0.16,-0.16,-0.09,0,0.05,-0.33,-0.38
"Blue Jackets","CBJ","23-24",82,4128.25,-0.26,4.52,0.0001,0.0043,-0.02,0.28,0,0.2,-0.29,-0.19,0.08,0.02,-0.38
"Red Wings","DET","16-17",82,4133.75,-2.77,0.68,0.001,0.0017,-0.16,0.04,0.04,0.07,-0.19,-0.03,-0.02,-0.14,-0.39
"Devils","N.J","10-11",82,4098.9,-3.53,-6.22,-0.0028,-0.0022,-0.2,-0.35,-0.1,-0.08,0.15,-0.03,-0.2,-0.32,-0.4
"Oilers","EDM","12-13",48,2321.97,-3.15,5.44,0.0014,0.0026,-0.18,0.31,0.05,0.12,-0.49,-0.07,-0.04,0.2,-0.4
"Ducks","ANA","19-20",71,3558.52,-0.8,3.06,-0.0035,-0.0009,-0.05,0.18,-0.14,-0.04,-0.23,-0.1,-0.12,0.05,-0.4
"Panthers","FLA","11-12",82,4118.27,-1.38,0.02,-0.0068,-0.0021,-0.08,0,-0.27,-0.09,-0.08,-0.18,-0.11,-0.04,-0.41
"Kings","L.A","18-19",82,4159.4,-3.53,1.69,-0.0017,-0.0029,-0.21,0.1,-0.07,-0.13,-0.31,0.06,-0.14,-0.02,-0.41
"Senators","OTT","23-24",82,4036.98,0.8,-0.56,0.0001,0.0032,0.05,-0.03,0,0.13,0.08,-0.13,-0.03,-0.33,-0.41
"Hurricanes","CAR","11-12",82,4059.73,0.89,4.32,0.0023,0.0044,0.05,0.24,0.09,0.19,-0.19,-0.1,-0.33,0.19,-0.42
"Canucks","VAN","17-18",82,4078.33,-3.37,1.35,-0.0026,-0.0003,-0.19,0.08,-0.1,-0.01,-0.27,-0.09,-0.03,-0.02,-0.42
"Red Wings","DET","18-19",82,4150.83,-3.7,2.81,-0.0016,0.001,-0.22,0.17,-0.06,0.04,-0.39,-0.11,0.02,0.05,-0.42
"Flyers","PHI","18-19",82,4074.53,-1.73,1.61,-0.0006,-0.0016,-0.1,0.1,-0.03,-0.07,-0.2,0.05,0.15,-0.42,-0.42
"Lightning","T.B","08-09",82,3769.67,-3.19,2.17,-0.0031,-0.0058,-0.18,0.13,-0.11,-0.25,-0.31,0.13,0.05,-0.3,-0.43
"Sabres","BUF","15-16",82,4106.38,-2.83,2.22,-0.0022,-0.0038,-0.16,0.12,-0.08,-0.16,-0.28,0.08,-0.12,-0.12,-0.43
"Hurricanes","CAR","16-17",82,4186.9,0.25,-0.22,0.0047,0.004,0.01,-0.01,0.19,0.16,0.03,0.03,-0.38,-0.11,-0.43
"Coyotes","ARI","20-21",56,2751.82,-1.64,1.24,-0.0035,-0.004,-0.1,0.08,-0.14,-0.17,-0.18,0.03,-0.03,-0.25,-0.43
"Lightning","T.B","09-10",82,3879.98,-3.02,1.36,0.0004,-0.0012,-0.17,0.08,0.01,-0.05,-0.25,0.06,-0.02,-0.23,-0.44
"Hurricanes","CAR","15-16",82,4177.77,0.32,-0.64,0.0046,0.0069,0.02,-0.04,0.19,0.27,0.05,-0.09,-0.41,0,-0.44
"Rangers","NYR","18-19",82,4096.52,-4.23,3.14,0.0038,0.0002,-0.25,0.19,0.14,0.01,-0.44,0.13,-0.18,0.05,-0.44
"Flyers","PHI","23-24",82,4045.02,2.86,-3.11,-0.0004,0.0018,0.17,-0.19,-0.02,0.07,0.36,-0.09,-0.3,-0.42,-0.44
"Rangers","NYR","17-18",82,4099.4,-2.91,5.05,0.0066,0.0022,-0.17,0.29,0.26,0.11,-0.46,0.16,-0.26,0.11,-0.45
"Avalanche","COL","10-11",82,3981.57,-2.97,2.9,0.0027,-0.0027,-0.17,0.16,0.1,-0.12,-0.33,0.22,0.02,-0.36,-0.46
"Canucks","VAN","18-19",82,4090.13,-2.6,1.43,-0.0047,-0.0009,-0.15,0.08,-0.19,-0.04,-0.24,-0.14,0.05,-0.12,-0.46
"Blue Jackets","CBJ","21-22",82,4119.18,-1.45,5.07,-0.0048,-0.001,-0.09,0.32,-0.19,-0.05,-0.41,-0.14,0.4,-0.31,-0.46
"Coyotes","ARI","08-09",81,3867.75,-3.9,4.05,-0.0057,-0.006,-0.23,0.23,-0.21,-0.27,-0.46,0.06,0.17,-0.24,-0.47
"Sabres","BUF","16-17",82,4129.33,-1.28,3.61,-0.0031,-0.0044,-0.07,0.2,-0.12,-0.2,-0.28,0.07,-0.21,-0.06,-0.47
"Panthers","FLA","16-17",82,4063.42,0.58,0.65,-0.0039,0.0012,0.03,0.04,-0.16,0.05,0,-0.21,-0.11,-0.15,-0.47
"Canucks","VAN","16-17",82,4124.9,-4.53,1.78,0.0002,0.002,-0.25,0.1,0.01,0.09,-0.36,-0.08,-0.12,0.09,-0.47
"Oilers","EDM","18-19",82,4138.8,-3.61,0.5,0.0004,0.0015,-0.21,0.03,0.01,0.06,-0.24,-0.05,-0.07,-0.11,-0.47
"Flyers","PHI","22-23",82,4116.55,-2.23,1.11,-0.0005,0.0013,-0.14,0.07,-0.02,0.06,-0.21,-0.08,-0.19,0.01,-0.47
"Flyers","PHI","21-22",82,4069.27,-2.55,4.37,-0.002,-0.0013,-0.16,0.27,-0.08,-0.06,-0.43,-0.02,0.07,-0.1,-0.48
"Islanders","NYI","13-14",82,4075.57,-0.63,1.83,0.008,0.0062,-0.04,0.1,0.32,0.26,-0.14,0.06,-0.39,-0.03,-0.49
"Canadiens","MTL","17-18",82,4070.73,-0.5,0.04,0.0021,-0.0005,-0.03,0,0.09,-0.02,-0.03,0.11,-0.53,-0.04,-0.49
"Senators","OTT","21-22",82,4072.8,-1.68,2.15,-0.0025,0,-0.11,0.13,-0.1,0,-0.24,-0.1,-0.14,-0.01,-0.49
"Flyers","PHI","24-25",82,4210.67,-1.95,-1.12,0.0079,-0.0008,-0.12,-0.07,0.31,-0.03,-0.05,0.35,-0.19,-0.6,-0.5
"Flames","CGY","13-14",82,4131.98,-4.13,-0.06,-0.0018,0.0017,-0.23,0,-0.06,0.07,-0.23,-0.13,0.13,-0.29,-0.51
"Ducks","ANA","21-22",82,4181.25,-2.31,2.29,-0.0018,-0.0017,-0.14,0.14,-0.07,-0.08,-0.29,0.01,-0.06,-0.17,-0.51
"Flyers","PHI","20-21",56,2800.57,-0.44,-1.16,-0.0044,-0.0038,-0.03,-0.07,-0.18,-0.15,0.04,-0.03,0.18,-0.71,-0.51
"Hurricanes","CAR","12-13",48,2349.85,4.79,5.1,0.0019,0.0072,0.27,0.29,0.08,0.32,-0.02,-0.24,-0.3,0.03,-0.52
"Avalanche","COL","12-13",48,2365.97,-0.61,3.21,-0.002,-0.0012,-0.03,0.18,-0.08,-0.05,-0.22,-0.03,-0.02,-0.25,-0.52
"Oilers","EDM","15-16",82,4049.7,-1.29,2.29,0.0059,0.0039,-0.07,0.13,0.23,0.16,-0.2,0.06,-0.3,-0.09,-0.52
"Canucks","VAN","15-16",82,4079.63,-3.06,3.02,-0.0001,0.0054,-0.17,0.17,0,0.24,-0.33,-0.24,-0.14,0.2,-0.52
"Senators","OTT","19-20",71,3542.33,-0.47,3.62,-0.0003,-0.0031,-0.03,0.22,-0.01,-0.14,-0.25,0.13,-0.23,-0.19,-0.53
"Capitals","WSH","23-24",82,4147.13,-5.18,1.34,0.006,0.0016,-0.32,0.08,0.22,0.07,-0.4,0.15,-0.34,0.05,-0.53
"Devils","N.J","16-17",82,4065.75,-3.75,1.07,0.0009,0.0004,-0.21,0.06,0.03,0.02,-0.27,0.02,-0.34,0.05,-0.54
"Ducks","ANA","20-21",56,2842.15,-3,1.65,-0.0046,-0.0001,-0.18,0.1,-0.17,0,-0.28,-0.17,0.09,-0.18,-0.54
"Canucks","VAN","20-21",56,2747.82,-1.04,5.4,-0.0029,0.0011,-0.06,0.33,-0.11,0.05,-0.4,-0.16,0.07,-0.05,-0.54
"Devils","N.J","21-22",82,4170.32,0.73,1.78,-0.0013,-0.0039,0.05,0.11,-0.05,-0.17,-0.07,0.12,0.09,-0.68,-0.54
"Coyotes","ARI","16-17",82,4109.98,-2.92,8.09,-0.0036,0.0009,-0.16,0.46,-0.14,0.05,-0.62,-0.18,0.02,0.24,-0.55
"Blue Jackets","CBJ","09-10",81,3872.03,-4.91,-0.32,-0.0031,-0.0039,-0.28,-0.02,-0.11,-0.16,-0.26,0.05,0.15,-0.49,-0.56
"Senators","OTT","20-21",56,2757.5,0.61,4.32,-0.0048,-0.0048,0.04,0.27,-0.19,-0.21,-0.23,0.02,0.1,-0.46,-0.57
"Maple Leafs","TOR","14-15",82,4003.63,-1.69,6.38,-0.0017,0.0007,-0.09,0.35,-0.06,0.03,-0.45,-0.1,0.01,-0.04,-0.58
"Sabres","BUF","18-19",82,4142.15,0.46,1.72,-0.0071,-0.0029,0.03,0.1,-0.31,-0.13,-0.07,-0.18,0.04,-0.36,-0.58
"Penguins","PIT","24-25",82,4168.13,0.35,1.54,0.0035,0.0041,0.02,0.09,0.15,0.17,-0.07,-0.03,-0.27,-0.21,-0.58
"Kraken","SEA","21-22",82,4121.62,-3.53,-2.52,-0.0066,-0.003,-0.22,-0.16,-0.26,-0.12,-0.06,-0.14,0.1,-0.49,-0.59
"Islanders","NYI","10-11",82,3947.92,-2.57,4.27,0.0068,0.0071,-0.14,0.24,0.26,0.32,-0.39,-0.06,-0.2,0.05,-0.6
"Blackhawks","CHI","20-21",56,2803.48,-4.57,4.17,0.0006,0.0016,-0.28,0.26,0.02,0.07,-0.54,-0.05,0.09,-0.1,-0.6
"Coyotes","ARI","22-23",82,3998.5,-6.78,3.78,0.0026,0.0019,-0.42,0.24,0.09,0.09,-0.66,0.01,0.01,0.05,-0.6
"Canadiens","MTL","22-23",82,4049.45,-5.6,2.89,0.0041,0.0077,-0.35,0.18,0.15,0.35,-0.53,-0.2,0.05,0.08,-0.6
"Blue Jackets","CBJ","11-12",82,3944.93,-3.19,1.17,-0.0022,-0.0051,-0.18,0.07,-0.08,-0.21,-0.25,0.13,-0.03,-0.47,-0.61
"Panthers","FLA","13-14",82,4034.2,-0.61,0.96,-0.0006,0.0008,-0.03,0.05,-0.03,0.03,-0.09,-0.06,-0.09,-0.38,-0.61
"Kings","L.A","20-21",56,2763.87,-2.3,2.31,-0.005,0.0021,-0.14,0.14,-0.19,0.09,-0.28,-0.28,0,-0.05,-0.61
"Hurricanes","CAR","14-15",82,4187.52,1.09,-0.89,0.0006,0.0041,0.06,-0.05,0.02,0.16,0.11,-0.14,-0.5,-0.09,-0.62
"Sharks","S.J","21-22",82,4160.48,-3.77,2.72,-0.0017,-0.0032,-0.24,0.17,-0.07,-0.14,-0.41,0.08,-0.16,-0.13,-0.62
"Red Wings","DET","20-21",56,2818.78,-4.76,3.15,-0.0035,-0.0057,-0.29,0.19,-0.12,-0.25,-0.49,0.12,-0.13,-0.14,-0.63
"Red Wings","DET","22-23",82,4051.75,-5.66,0.05,0.0007,0,-0.35,0,0.03,0,-0.36,0.03,-0.08,-0.22,-0.63
"Devils","N.J","18-19",82,4034.38,-2.85,2.69,-0.0014,-0.0046,-0.17,0.16,-0.06,-0.21,-0.33,0.15,-0.07,-0.41,-0.65
"Avalanche","COL","08-09",82,3900.4,-3.33,1.14,-0.0047,-0.008,-0.19,0.07,-0.18,-0.33,-0.26,0.16,0,-0.56,-0.66
"Oilers","EDM","10-11",82,3923.35,-5.43,2.88,0.0038,0.0069,-0.31,0.16,0.14,0.3,-0.47,-0.17,-0.16,0.13,-0.66
"Maple Leafs","TOR","15-16",82,4005.23,2.17,3.92,-0.0002,-0.0016,0.12,0.21,-0.01,-0.07,-0.1,0.06,-0.45,-0.19,-0.67
"Sharks","S.J","19-20",70,3455.47,-1.98,-1.48,-0.0005,0.0032,-0.12,-0.09,-0.02,0.13,-0.03,-0.15,-0.18,-0.31,-0.67
"Wild","MIN","11-12",82,4073.15,-5.36,3.85,-0.0004,-0.0065,-0.3,0.22,-0.01,-0.29,-0.52,0.27,-0.39,-0.04,-0.68
"Senators","OTT","17-18",82,4096.63,-2.46,2.87,-0.0031,-0.0012,-0.14,0.16,-0.13,-0.06,-0.3,-0.07,0.15,-0.45,-0.68
"Sabres","BUF","21-22",82,4167.25,-3.62,1.4,-0.0057,-0.003,-0.23,0.09,-0.22,-0.13,-0.31,-0.09,0.16,-0.46,-0.71
"Ducks","ANA","23-24",82,3960.77,-4.98,2.46,0.001,0.0002,-0.3,0.15,0.04,0.01,-0.45,0.03,-0.22,-0.07,-0.71
"Islanders","NYI","11-12",82,4147.45,-1.58,0.9,0.0067,0.0057,-0.09,0.05,0.26,0.24,-0.14,0.02,-0.54,-0.07,-0.72
"Senators","OTT","18-19",82,4140.42,-3.21,6.13,-0.0002,-0.0037,-0.19,0.36,-0.01,-0.18,-0.55,0.17,0.23,-0.57,-0.72
"Red Wings","DET","21-22",82,4136.08,-4.86,3.32,0.0016,-0.0005,-0.3,0.21,0.06,-0.02,-0.51,0.08,-0.01,-0.28,-0.72
"Oilers","EDM","13-14",82,3993.93,-5.12,5.82,0.0039,0.0014,-0.29,0.32,0.14,0.07,-0.61,0.07,-0.01,-0.21,-0.75
"Sharks","S.J","20-21",56,2782.98,-0.47,3.33,0.0009,-0.0024,-0.03,0.2,0.04,-0.1,-0.23,0.14,-0.18,-0.48,-0.76
"Canadiens","MTL","21-22",82,4063.65,-4.47,4.02,0.0015,0.0021,-0.28,0.25,0.06,0.1,-0.53,-0.04,-0.04,-0.15,-0.76
"Oilers","EDM","09-10",82,3969.32,-2.67,6.25,0.0001,-0.0012,-0.15,0.36,0,-0.06,-0.51,0.06,-0.03,-0.28,-0.77
"Devils","N.J","19-20",69,3396.97,-2.18,3.73,-0.0018,-0.0017,-0.13,0.22,-0.07,-0.08,-0.35,0,-0.13,-0.3,-0.78
"Blue Jackets","CBJ","20-21",56,2927.83,-2.49,3.41,-0.0082,-0.004,-0.15,0.21,-0.31,-0.17,-0.36,-0.13,0.03,-0.37,-0.83
"Blackhawks","CHI","21-22",82,4138.17,-5.99,1.56,-0.0033,-0.0057,-0.37,0.1,-0.12,-0.25,-0.47,0.13,0.03,-0.52,-0.83
"Blackhawks","CHI","24-25",82,4189.8,-6.98,3.94,0.003,0.0031,-0.42,0.24,0.1,0.14,-0.65,-0.04,0.06,-0.19,-0.83
"Senators","OTT","10-11",82,3993.95,-1.7,0.32,-0.001,0.0009,-0.1,0.02,-0.04,0.04,-0.11,-0.08,-0.27,-0.39,-0.85
"Islanders","NYI","08-09",82,3816.1,-2.5,5.9,0.0006,-0.0008,-0.14,0.34,0.02,-0.04,-0.49,0.06,-0.29,-0.15,-0.87
"Predators","NSH","24-25",82,4074.5,-0.62,0.31,0.0016,0.0019,-0.04,0.02,0.06,0.08,-0.06,-0.01,-0.49,-0.35,-0.91
"Flames","CGY","12-13",48,2372.72,-2.92,2.14,0.0035,0.0002,-0.17,0.12,0.13,0.01,-0.29,0.12,-0.08,-0.68,-0.92
"Sharks","S.J","22-23",82,4098.75,-1.96,2.24,0.007,0.0041,-0.12,0.14,0.28,0.18,-0.26,0.1,-0.27,-0.49,-0.92
"Sabres","BUF","17-18",82,4036.23,-4.11,1.83,-0.0064,-0.0043,-0.24,0.1,-0.25,-0.19,-0.34,-0.05,-0.13,-0.42,-0.94
"Sabres","BUF","14-15",82,4122.1,-9.97,9.6,0,-0.0029,-0.55,0.53,0,-0.14,-1.09,0.15,-0.06,0.02,-0.99
"Sharks","S.J","24-25",82,4077.68,-3.89,6.02,-0.0008,0.0039,-0.23,0.36,-0.03,0.18,-0.59,-0.22,-0.1,-0.11,-1.01
"Oilers","EDM","14-15",82,4189.4,-2.55,2.6,-0.0013,0.0053,-0.14,0.14,-0.05,0.23,-0.29,-0.28,-0.13,-0.32,-1.02
"Coyotes","ARI","21-22",82,4134.73,-7.33,6.08,-0.0028,-0.001,-0.46,0.38,-0.1,-0.05,-0.84,-0.05,0.28,-0.41,-1.02
"Blackhawks","CHI","22-23",82,4124.07,-6.93,4.43,0.0015,0.0037,-0.43,0.28,0.05,0.17,-0.71,-0.12,-0.19,-0.03,-1.05
"Coyotes","ARI","14-15",82,4093.7,-1.05,4.45,-0.0051,-0.0011,-0.06,0.25,-0.2,-0.05,-0.31,-0.15,-0.39,-0.23,-1.08
"Sabres","BUF","13-14",82,4010.15,-6.95,6.89,-0.0016,-0.002,-0.39,0.38,-0.05,-0.1,-0.77,0.04,-0.36,-0.02,-1.11
"Avalanche","COL","16-17",82,4021.22,-3.42,2.83,-0.006,-0.0029,-0.19,0.16,-0.23,-0.13,-0.35,-0.1,-0.1,-0.6,-1.15
"Sabres","BUF","20-21",56,2869.8,-2.83,5.46,-0.0049,-0.0046,-0.17,0.33,-0.18,-0.21,-0.51,0.03,-0.28,-0.45,-1.21
"Ducks","ANA","22-23",82,4110.97,-6.31,11.24,0.0002,0.0035,-0.4,0.7,0.01,0.19,-1.1,-0.18,-0.04,0.06,-1.26
"Blackhawks","CHI","23-24",82,4080.88,-7.61,6.12,0.0004,0.0033,-0.46,0.37,0.01,0.16,-0.84,-0.15,-0.3,0.02,-1.26
"Blue Jackets","CBJ","22-23",82,4136.75,-4.2,7.77,-0.0003,0.0001,-0.26,0.49,-0.01,0.01,-0.75,-0.02,-0.15,-0.44,-1.36
"Red Wings","DET","19-20",71,3456.4,-6.56,2.56,-0.0027,-0.0007,-0.39,0.15,-0.1,-0.03,-0.55,-0.07,-0.41,-0.37,-1.39
"Panthers","FLA","12-13",48,2398.95,-1.94,3.19,-0.0044,-0.0006,-0.11,0.18,-0.17,-0.03,-0.29,-0.14,-0.36,-0.67,-1.45
"Sharks","S.J","23-24",82,4127.82,-6.05,7.85,0.0002,0.0035,-0.37,0.48,0.01,0.17,-0.85,-0.17,-0.42,-0.14,-1.57
